,publishedAt,author,comment
151,2025-07-01T17:52:24Z,@lailanihutagalung775,Di suruh agar pangan Mencukupi tapi buk a n menyuruh lembong untuk korupsi 😂😂😂😂😂 hanya kalian aja yang mengalah gunakan kinerja instruksi agar informasi gula di stabilkan bukan di korupsi 😂😂😂 dasar bodoh
152,2025-07-01T17:29:59Z,@rudirudy1144,Termul psti mnyangkal 🤭🤭🤭
153,2025-07-01T17:05:41Z,@ahmadsurya-l8r3t,sya curiga ini upaya untuk bkin tom lembong gak ikut cmpur lagi di pemilu 2029
154,2025-07-01T16:55:10Z,@budi-sentoso,"Gila di negeri konoha ini sbg saksi Tom Lembong di borgol saat akan diantar ke pengadilan 😮
Padahal Tom bukan seorang  kriminal"
155,2025-07-01T16:41:11Z,@nindasaprudin7161,"Aku suka suaranya tom Lembong,laki bgt...dan khas"
156,2025-07-01T16:36:31Z,@HartatiTeti-z9y,"Ya, klw Pak jokowi  satu itu Presiden, pantas jokowi perintah kan exspor gula itu  , yg menghenfel kan tugas Tom lembong,,, ya,, tom lembong lah yg  mengandalkan duit nya,, ngapa Pak jokowi yg kaw seret2, yg koruptor itu kaw,, krna jokowi sekarang sedang diposisi ditekan,, kaw ikut jugak memfitnah,, jujur aj jg seret2 nama orang,"
157,2025-07-01T16:26:26Z,@jackposter9135,Mulyono lagi...😇😇
158,2025-07-01T16:26:02Z,@博纳婚姻埃杜·扬科克,Mulyono meresahkan
159,2025-07-01T16:12:03Z,@epoel6960,"Jokodok hrs ikut bertanggung jawab, jgn tevang pilih"
160,2025-07-01T16:09:20Z,@bantenkrakatau6879,"Menindak lanjuti , , ,namun perlu tidaknya import kan dari menteri, , , bong lembong,dan kelebihan impor inisiatif siapa ,, ,"
161,2025-07-01T16:07:37Z,@bantenkrakatau6879,"Lucu tom.lbong jwabnya, , ,"
162,2025-07-01T16:07:06Z,@bantenkrakatau6879,"Namun layak import dan tdak kan usulan dan kajian para Menteri, kabinet komisi yng membidangi"
163,2025-07-01T16:06:50Z,@bantenkrakatau6879,"Namun layak import dan tdak kan usulan dan kajian para Menteri, kabinet komisi yng membidangi"
164,2025-07-01T16:05:32Z,@bantenkrakatau6879,"Ya semua perintah presiden ,, , lah, , ,terkait impor, , ,namun kajian awal kan dari Menteri, , , Lembong kok Bodoh"
165,2025-07-01T15:53:31Z,@LukmanHakim-mk9tp,"Tangkap, adili, hukum penjara jokowi"
166,2025-07-01T15:52:46Z,@woto-wc1of,Tp pk jokowi g nyuruh korup kan??
167,2025-07-01T15:44:13Z,@Airin-Story,Sikat si plongo itu. Tok de tok
168,2025-07-01T15:43:50Z,@dedesobari-em1ty,Benar benar memalukan
169,2025-07-01T15:39:20Z,@chiphie0210,Jangan2 Hasto bener jg😂
170,2025-07-01T15:35:20Z,@EllyanaNasution-v4k,semoga jokowi bisa hadir sebagai perintah  untuk melakukan  inpor gula
171,2025-07-01T15:30:40Z,@alordiopacazah2445,"Oh..... Jadi ada intruksi dari si Fir'aun joko widodo.... 
Alamak..... Pantesan aja di cap presiden ter KORUP  Indonesia😮😮"
172,2025-07-01T15:27:58Z,@asnawiwi-ul5ht,"Kapolri MK kpk dan jaksa sudah jadi budak Jokowi, kalau keluarga Jokowi bermasalah dengan hukum pasti aman"
173,2025-07-01T15:22:49Z,@paigentayangan957,Pasti semua mentri di eranya yg terseret korupsi ada kaitanya jokobodol semoga selalu hidup dan membusuk badanya
174,2025-07-01T15:17:17Z,@andhiniputry324,Sudah kuduga.. Negara menjadi ancur banyak perusahaan colaps tambang dimana2 ada tapi pajak malah bertambah bertubi2. BBM naik
175,2025-07-01T15:15:03Z,@hanifzaidansinaga4369,ayo segera periksa jokowi... jangan omon-omon yaaa
176,2025-07-01T15:07:32Z,@InfoJatimofficialInfoJatim,Coba pas wktu itu semua perintah ada rekaman suara malah tmbh kuat bukti2
